symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
NVDA,2019-01-08 00:00:00+00:00,139.83,146.78,136.9,146.69,19650429,34.6858570023,36.4098554731,33.9590490139,36.387530313,78601716,0.0,1.0
NVDA,2019-01-09 00:00:00+00:00,142.58,144.49,139.86,141.9,15431475,35.3680146706,35.8418041784,34.6932987224,35.1993356836,61725900,0.0,1.0
NVDA,2019-01-10 00:00:00+00:00,145.23,145.58,139.36,141.8,13078906,36.0253666055,36.1121866724,34.5692700554,35.1745299502,52315624,0.0,1.0
NVDA,2019-01-11 00:00:00+00:00,148.83,149.75,143.21,144.33,21869066,36.9183730076,37.1465857548,35.524290791,35.802115005,87476264,0.0,1.0
NVDA,2019-01-14 00:00:00+00:00,150.44,151.46,145.77,146.72,18254249,37.3177453153,37.5707637959,36.1593175658,36.3949720331,73016996,0.0,1.0
NVDA,2019-01-15 00:00:00+00:00,149.87,153.35,149.13,151.76,15425251,37.1763526349,38.039592157,36.9927902078,37.645180996,61701004,0.0,1.0
NVDA,2019-01-16 00:00:00+00:00,148.84,152.3,148.62,150.97,11752592,36.920853581,37.7791319563,36.8662809675,37.4492157022,47010368,0.0,1.0
NVDA,2019-01-17 00:00:00+00:00,151.72,153.33,146.41,147.51,12335905,37.6352587027,38.0346310103,36.3180742595,36.5909373269,49343620,0.0,1.0
NVDA,2019-01-18 00:00:00+00:00,156.93,157.98,151.65,153.73,16283423,38.9276374124,39.188097613,37.6178946893,38.1338539439,65133692,0.0,1.0
NVDA,2019-01-22 00:00:00+00:00,148.77,156.18,147.55,155.71,16538776,36.9034895676,38.741594412,36.6008596202,38.625007465,66155104,0.0,1.0
NVDA,2019-01-23 00:00:00+00:00,149.29,154.58,148.03,151.0,14775545,37.0324793812,38.3447026777,36.7199271405,37.4566574222,59102180,0.0,1.0
NVDA,2019-01-24 00:00:00+00:00,157.84,158.55,152.51,152.7,17724261,39.1533695863,39.3294902934,37.8312239965,37.8783548899,70897044,0.0,1.0
NVDA,2019-01-25 00:00:00+00:00,160.15,160.88,151.3,155.44,28880547,39.7263820276,39.9074638814,37.5310746224,38.5580319849,115522188,0.0,1.0
NVDA,2019-01-28 00:00:00+00:00,138.01,141.64,131.0,136.55,62788169,34.2343926546,35.1348407767,32.4955107438,33.8722289471,251152676,0.0,1.0
NVDA,2019-01-29 00:00:00+00:00,131.6,138.1,131.01,136.15,28848347,32.6443451442,34.2567178147,32.4979913171,33.7730060135,115393388,0.0,1.0
NVDA,2019-01-30 00:00:00+00:00,137.39,137.97,131.46,134.67,24355739,34.0805971076,34.2244703612,32.6096171174,33.4058811593,97422956,0.0,1.0
NVDA,2019-01-31 00:00:00+00:00,143.75,145.19,136.38,137.26,21071338,35.6582417513,36.0154443122,33.8300592003,34.0483496542,84285352,0.0,1.0
NVDA,2019-02-01 00:00:00+00:00,144.73,146.79,142.58,144.5,15626175,35.9013379386,36.4123360464,35.3680146706,35.8442847518,62504700,0.0,1.0
NVDA,2019-02-04 00:00:00+00:00,149.18,150.68,144.48,145.37,13215018,37.0051930745,37.3772790754,35.8393236051,36.0600946323,52860072,0.0,1.0
NVDA,2019-02-05 00:00:00+00:00,149.95,151.43,148.3,149.66,13560625,37.1961972216,37.5633220758,36.7869026207,37.1242605948,54242500,0.0,1.0
NVDA,2019-02-06 00:00:00+00:00,153.0,155.6,151.07,151.29,17561647,37.9527720901,38.5977211583,37.4740214356,37.5285940491,70246588,0.0,1.0
